,country,year,sex,age,generation,incomelevel,depression,alcohol
16907,70,2012,0,5,5,0,2.923721,2.220577
14178,59,2002,1,1,2,2,2.67298,1.328902
14581,60,2011,1,3,3,2,2.929236,2.314594
7640,30,2007,0,1,2,2,2.78403,1.93751
731,2,2010,1,0,4,2,3.64793,1.839168
8715,34,1998,0,3,4,2,3.4329,3.160249
1495,5,1999,1,2,0,0,3.505552,1.878918
17869,75,1997,0,0,2,0,4.616927,1.93236
5641,22,2003,1,1,2,0,2.784097,1.978027
16228,67,2005,0,0,4,2,2.65594,1.961927
2064,7,2012,0,1,4,0,3.940631,0.741081
16456,68,2010,1,4,5,0,2.896495,0.860863
16001,66,2004,0,1,2,2,2.346814,1.805089
4263,17,1993,1,3,4,2,2.304626,1.461915
5584,22,1998,1,2,0,0,2.872348,1.884987
16377,68,2004,1,1,2,0,2.941494,0.850215
12363,50,1993,0,4,5,2,3.655156,1.307527
4990,19,2010,0,2,2,0,2.795575,2.092609
20525,86,1999,0,5,1,1,2.947649,2.355886
6774,26,2013,0,2,2,0,3.926684,4.958878
15518,64,2005,1,2,0,0,2.763139,1.828176
13237,54,2003,1,0,4,0,4.058864,0.75705
2061,7,2011,1,5,5,0,3.957653,0.743792
8496,33,2007,0,4,5,2,2.801358,1.677781
19070,80,1998,1,0,2,2,2.903411,2.596268
10243,40,1996,1,5,1,0,3.514964,0.447098
454,1,2012,1,4,0,0,2.536427,2.120836
14164,59,2001,1,5,5,2,2.66913,1.32934
